,0,1,階,賃料/管理費,敷金/礼金,間取り/専有面積,6,お気に入り,8,NewArrival,マンション名,住所,最寄り駅,築年数,建物高さ
52,"
 
","




","
											4階","

10.4万円
10000円

","

10.4万円
10.4万円

","

1K
29.9m2

","

パノラマ

","



追加

追加

","
詳細を見る",Exsiting,都営新宿線 岩本町駅 13階建 築15年,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分 --- ＪＲ山手線/秋葉原駅 歩8分 --- 東京メトロ日比谷線/小伝馬町駅 歩6分,築15年,13階建
53,"
 
","




","
											3階","

10.8万円
8000円

","

10.8万円
10.8万円

","

1K
26.35m2

","


","



追加

追加

","
詳細を見る",Exsiting,ＪＲ中央線 飯田橋駅 9階建 築13年,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩4分 --- 東京メトロ東西線/九段下駅 歩8分 --- 都営新宿線/市ヶ谷駅 歩15分,築13年,9階建
54,"
 
","




","
											5階","

11.2万円
8000円

","

11.2万円
11.2万円

","

1K
22.12m2

","


","



追加

追加

","
詳細を見る",Exsiting,ＪＲ中央線 飯田橋駅 9階建 築13年,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩4分 --- 東京メトロ東西線/九段下駅 歩8分 --- 都営新宿線/市ヶ谷駅 歩15分,築13年,9階建
55,"
 
","




","
											5階","

11.2万円
8000円

","

11.2万円
11.2万円

","

1K
22.12m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,プラース千代田富士見,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩4分 --- 東京メトロ半蔵門線/九段下駅 歩9分 --- ＪＲ中央線/水道橋駅 歩10分,築13年,9階建
56,"
 
","




","
											3階","

10.9万円
10000円

","

10.9万円
10.9万円

","

1K
25.27m2

","


","



追加

追加

","
詳細を見る",New,ライオンズ千代田岩本町ミレス,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分 --- 東京メトロ日比谷線/小伝馬町駅 歩5分 --- ＪＲ京浜東北線/神田駅 歩7分,築4年,15階建
57,"
 
","




","
											7階","

9.3万円
7000円

","

9.3万円
-

","

1K
22.96m2

","


","



追加

追加

","
詳細を見る",Exsiting,ＨＯＰＥ　ＣＩＴＹ秋葉原,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩5分 --- 都営新宿線/岩本町駅 歩3分 --- 東京メトロ日比谷線/小伝馬町駅 歩6分,築15年,15階建
58,"
 
","




","
											5階","

10万円
6880円

","

10万円
10万円

","

1K
25.3m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,マストライフ秋葉原EAST,東京都千代田区神田佐久間町３,ＪＲ山手線/秋葉原駅 歩4分 --- 都営新宿線/岩本町駅 歩6分 --- ＪＲ総武線快速/馬喰町駅 歩11分,築9年,8階建
59,"
 
","




","
											7階","

10.1万円
6880円

","

10.1万円
10.1万円

","

1K
25.3m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,マストライフ秋葉原EAST,東京都千代田区神田佐久間町３,ＪＲ山手線/秋葉原駅 歩4分 --- 都営新宿線/岩本町駅 歩6分 --- ＪＲ総武線快速/馬喰町駅 歩11分,築9年,8階建
60,"
 
","




","
											4階","

9.5万円
10000円

","

9.5万円
9.5万円

","

1K
22.13m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,aya・suidoubashi(アヤ・スイドウバシ）,東京都千代田区神田三崎町２,東京メトロ丸ノ内線/後楽園駅 歩16分 --- 都営三田線/神保町駅 歩10分 --- 東京メトロ東西線/九段下駅 歩11分,築5年,5階建
61,"
 
","




","
											4階","

9.5万円
10000円

","

9.5万円
9.5万円

","

1K
22.13m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,ＪＲ中央線 水道橋駅 5階建 築5年,東京都千代田区神田三崎町２,ＪＲ中央線/水道橋駅 歩4分 --- 東京メトロ半蔵門線/神保町駅 歩10分 --- 東京メトロ東西線/九段下駅 歩11分,築5年,5階建
62,"
 
","




","
											2階","

9万円
15000円

","

-
9万円

","

1K
22.24m2

","


","



追加

追加

","
詳細を見る",Exsiting,メインステージ九段下,東京都千代田区神田神保町３,東京メトロ半蔵門線/九段下駅 歩3分 --- 都営新宿線/神保町駅 歩7分 --- ＪＲ総武線/水道橋駅 歩11分,築10年,14階建
63,"
 
","




","
											9階","

11万円
10000円

","

11万円
11万円

","

1K
26.23m2

","


","



追加

追加

","
詳細を見る",Exsiting,パークリュクス御茶ノ水,東京都千代田区神田猿楽町２,ＪＲ中央線/御茶ノ水駅 歩7分 --- ＪＲ中央線/水道橋駅 歩7分 --- 東京メトロ半蔵門線/神保町駅 歩5分,築13年,12階建
64,"
 
","




","
											7階","

8.5万円
10000円

","

8.5万円
8.5万円

","

1K
24.79m2

","


","



追加

追加

","
詳細を見る",Exsiting,ドルチェ秋葉原ＥＡＳＴ,東京都千代田区東神田３,ＪＲ総武線/浅草橋駅 歩2分 --- ＪＲ総武線快速/馬喰町駅 歩8分 --- 東京メトロ日比谷線/秋葉原駅 歩8分,築14年,10階建
65,"
 
","




","
											3階","

10.5万円
10000円

","

-
-

","

1K
20.81m2

","


","



追加

追加

","
詳細を見る",Exsiting,東京メトロ銀座線 神田駅 12階建 築3年,東京都千代田区神田須田町２,東京メトロ銀座線/神田駅 歩2分 --- 都営新宿線/岩本町駅 歩2分 --- ＪＲ総武線/秋葉原駅 歩7分,築3年,12階建
66,"
 
","




","
											4階","

10.7万円
10000円

","

-
-

","

1K
20.94m2

","


","



追加

追加

","
詳細を見る",Exsiting,東京メトロ銀座線 神田駅 12階建 築3年,東京都千代田区神田須田町２,東京メトロ銀座線/神田駅 歩2分 --- 都営新宿線/岩本町駅 歩2分 --- ＪＲ総武線/秋葉原駅 歩7分,築3年,12階建
67,"
 
","




","
											3階","

9.6万円
6000円

","

9.6万円
9.6万円

","

1K
25.32m2

","

パノラマ

","



追加

追加

","
詳細を見る",Exsiting,ルッソ飯田橋,東京都千代田区飯田橋４,ＪＲ総武線/飯田橋駅 歩3分 --- 東京メトロ有楽町線/飯田橋駅 歩4分 --- 東京メトロ半蔵門線/九段下駅 歩9分,築10年,6階建
68,"
 
","




","
											2階","

9万円
15000円

","

-
9万円

","

1K
22.24m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,東京メトロ半蔵門線 九段下駅 14階建 築10年,東京都千代田区神田神保町３,東京メトロ半蔵門線/九段下駅 歩3分 --- 東京メトロ半蔵門線/神保町駅 歩3分 --- ＪＲ中央線/水道橋駅 歩14分,築10年,14階建
